batch_year,branch,company,role,package_lpa,role_type,domain,location
2019,EEE,Paytm,Software Engineer,16.3,on-campus,Power Systems,Bhopal
2021,AIDS,Swiggy,Strategy Analyst,7.7,on-campus,Business Analytics,Mumbai
2019,Cyber Security,L&T,Software Engineer,9.4,ppo,Ethical Hacking,Pune
2019,DS,PhonePe,Research Scientist,20.1,on-campus,Data Science,Mumbai
2019,ECE,Postman,Software Engineer,7.6,on-campus,Signal Processing,Bangalore
2020,AIML,ONGC,AI Researcher,9.1,off-campus,AI/ML,Noida
2019,Cyber Security,Zomato,SOC Analyst,18.7,on-campus,Cybersecurity,Indore
2020,ECE,Siemens,RTL Engineer,14.6,off-campus,VLSI,Bhopal
2019,DS,TCS,ETL Developer,7.1,ppo,Data Engineering,Chennai
2019,AIDS,Oracle,Product Analyst,21.8,off-campus,Business Analytics,Kochi
2017,EEE,Schneider Electric,Software Engineer,4.6,on-campus,Power Systems,Chennai
2020,AIML,LTIMindtree,Software Engineer,6.1,on-campus,Robotics,Kolkata
2018,IT,Microsoft,Software Engineer,35.5,ppo,Cloud Computing,Bhopal
2018,AIDS,Tech Mahindra,Software Engineer,4.4,on-campus,NLP,Mumbai
2016,Cyber Security,Schneider Electric,Software Engineer,7.8,ppo,Network Security,Pune
2020,AIML,Axis Bank,AI Researcher,4.6,off-campus,AI/ML,Ahmedabad
2017,IT,HDFC Bank,Software Engineer,6.7,on-campus,Cloud Computing,Bangalore
2022,DS,NIC,Data Engineer,5.5,on-campus,Data Engineering,Delhi
2022,IT,Chargebee,Software Engineer,11.8,on-campus,Cloud Computing,Chennai
2021,ME,Siemens,Software Engineer,11.5,on-campus,Robotics,Mumbai
2017,DS,Mphasis,Analytics Engineer,8.8,on-campus,Data Engineering,Kolkata
2017,CE,Juspay,Software Engineer,5.9,ppo,Urban Planning,Pune
2022,EEE,BrowserStack,Software Engineer,42.5,on-campus,Renewable Energy,Jaipur
2021,DS,Adobe,Software Engineer,25.4,on-campus,Business Intelligence,Gurgaon
2018,EEE,L&T,Software Engineer,9.3,on-campus,Power Systems,Hyderabad
2022,DS,Postman,Data Scientist,7.3,on-campus,Data Science,Jaipur
2020,IT,Razorpay,Software Engineer,33.0,off-campus,Web Development,Chennai
2016,Cyber Security,Axis Bank,Software Engineer,4.9,on-campus,Cloud Security,Kochi
2022,CSE,Capgemini,Data Scientist,7.9,ppo,Data Science,Noida
2021,CE,Deutsche Bank,Software Engineer,8.5,off-campus,Structural Engineering,Bangalore
2019,EEE,ICICI Bank,Software Engineer,8.7,off-campus,Control Systems,Chennai
2018,IT,ISRO,Backend Engineer,7.2,ppo,Software Development,Ahmedabad
2022,CE,Tata Motors,Software Engineer,11.8,on-campus,Urban Planning,Delhi
2023,AIML,Mphasis,Software Engineer,11.9,on-campus,NLP,Ahmedabad
2021,EEE,Leadsquared,Software Engineer,5.6,on-campus,Renewable Energy,Gurgaon
2020,IT,Swiggy,Software Engineer,11.6,on-campus,Web Development,Delhi
2017,CE,Slice,Software Engineer,7.7,off-campus,Construction,Bhopal
2020,ECE,Cisco,Physical Design Engineer,23.5,off-campus,VLSI,Hyderabad
2020,CSE,Deutsche Bank,Backend Engineer,8.6,off-campus,Software Development,Pune
2019,Cyber Security,Darwinbox,Software Engineer,6.3,ppo,Cloud Security,Indore
2019,ECE,Infosys,Physical Design Engineer,4.7,on-campus,VLSI,Kolkata
2019,DS,Tech Mahindra,ETL Developer,8.2,on-campus,Data Engineering,Mumbai
2023,DS,Mphasis,Data Engineer,7.5,on-campus,Data Engineering,Kochi
2023,ECE,ABB,Software Engineer,13.7,on-campus,Signal Processing,Noida
2020,AIML,Capgemini,NLP Engineer,7.6,on-campus,AI/ML,Bangalore
2023,CE,L&T,Software Engineer,12.1,on-campus,Construction,Hyderabad
2016,DS,Infosys,ETL Developer,4.2,off-campus,Data Engineering,Bhopal
2018,DS,Mphasis,Software Engineer,8.6,off-campus,Business Intelligence,Delhi
2023,Cyber Security,Deutsche Bank,Software Engineer,9.4,ppo,Cloud Security,Chennai
2022,AIML,Wipro,Software Engineer,7.5,off-campus,Robotics,Gurgaon
2023,IT,Juspay,Software Engineer,12.9,on-campus,Web Development,Hyderabad
2020,ECE,ISRO,Software Engineer,9.6,off-campus,Signal Processing,Noida
2018,AIML,CRED,Software Engineer,42.5,off-campus,Robotics,Pune
2019,ME,ONGC,Software Engineer,8.0,on-campus,CAD/CAM,Kolkata
2019,ME,Bosch,Software Engineer,16.5,on-campus,Automotive,Mumbai
2022,CE,BHEL,Software Engineer,7.3,ppo,Urban Planning,Gurgaon
